kalimat,kata,postag,entitas
5,Partai,NNP,ORG
5,Golkar,NNP,ORG
5,.,Z,O
6,Selain,IN,O
6,itu,PR,O
6,",",Z,O
6,dua,CD,O
6,calon,NN,O
6,ketua,NN,O
6,umum,JJ,O
6,menyatakan,VB,O
6,mundur,NN,O
6,dan,CC,O
6,tak,NEG,O
6,akan,MD,O
6,mencalonkan,VB,O
6,diri,NN,O
6,.,Z,O
7,Mereka,PRP,O
7,adalah,VB,O
7,MS,NNP,PER
7,Hidayat,NNP,PER
7,dan,CC,O
7,Airlangga,NNP,PER
7,Hartarto,NNP,PER
7,.,Z,O
8,Hidayat,NN,PER
8,dan,CC,O
8,Airlangga,NNP,PER
8,mundur,VB,O
8,karena,SC,O
8,menganggap,VB,O
8,ada,VB,O
8,proses,NN,O
8,yang,SC,O
8,tidak,NEG,O
8,demokratis,JJ,O
8,dan,CC,O
8,tidak,NEG,O
8,fair,VB,O
8,dalam,IN,O
8,Munas,NNP,O
8,IX,NNP,O
8,yang,SC,O
8,berlangsung,VB,O
8,di,IN,O
8,Bali,NNP,LOC
8,.,Z,O
9,"""",Z,O
9,Upaya,NNP,O
9,Airlangga,NNP,PER
9,serius,JJ,O
9,bertarung,VB,O
9,",",Z,O
9,tapi,CC,O
9,melihat,VB,O
9,gelagat,NN,O
9,tidak,NEG,O
9,sehat,JJ,O
9,",",Z,O
9,maka,SC,O
9,lebih,RB,O
9,baik,JJ,O
9,mundur,VB,O
9,.,Z,O
9,Itu,PR,O
9,pun,RP,O
9,jalan,NN,O
9,moderat,JJ,O
9,",",Z,O
9,"""",Z,O
9,kata,VB,O
9,Arie,NNP,PER
9,.,Z,O
10,Dengan,IN,O
10,mundurnya,NN,O
10,Hidayat,NN,PER
10,dan,CC,O
10,Airlangga,NNP,PER
10,",",Z,O
10,Aburizal,NNP,PER
10,berpotensi,VB,O
10,menjadi,VB,O
10,calon,NN,O
10,tunggal,JJ,O
10,ketua,NN,O
10,umum,JJ,O
10,yang,SC,O
10,akan,MD,O
10,dipilih,VB,O
10,dalam,IN,O
10,Munas,NNP,O
10,IX,NNP,O
10,.,Z,O
11,Menurut,IN,O
11,Arie,NNP,PER
11,",",Z,O
11,jika,SC,O
11,Aburizal,NNP,PER
11,terus,RB,O
11,memaksakan,VB,O
11,kehendaknya,RB,O
11,",",Z,O
11,bukan,NEG,O
11,tidak,NEG,O
11,mungkin,MD,O
11,Golkar,VB,ORG
11,akan,MD,O
11,menyusul,VB,O
11,Partai,NNP,ORG
11,Persatuan,NNP,ORG
11,Pembangunan,NNP,ORG
11,yang,SC,O
11,terpecah,VB,O
11,karena,SC,O
11,konflik,NN,O
11,internal,JJ,O
11,.,Z,O
12,Arie,NNP,PER
12,mengatakan,VB,O
12,",",Z,O
12,para,DT,O
12,petinggi,NN,O
12,partai,NN,O
12,segera,RB,O
12,melakukan,VB,O
12,langkah-langkah,NN,O
12,untuk,SC,O
12,menyelamatkan,VB,O
12,partai,NN,O
12,berlambang,NN,O
12,pohon,NN,O
12,beringin,NN,O
12,tersebut,PR,O
12,.,Z,O
13,"""",Z,O
13,Ini,PR,O
13,indikasi,NN,O
13,atau,CC,O
13,tanda-tanda,NN,O
13,kebangkrutan,NN,O
13,Golkar,NNP,ORG
13,",",Z,O
13,"""",Z,O
13,kata,VB,O
13,Arie,NNP,PER
13,.,Z,O
14,Wakil,NNP,O
14,Ketua,NNP,O
14,DPR,NNP,ORG
14,Fadli,NNP,PER
14,Zon,NNP,PER
14,mengkritik,VB,O
14,pemerintahan,NN,O
14,Joko,NNP,PER
14,Widodo,NNP,PER
14,yang,SC,O
14,dinilainya,RB,O
14,lambat,JJ,O
14,dalam,IN,O
14,melakukan,VB,O
14,eksekusi,NN,O
14,terhadap,IN,O
14,para,DT,O
14,terpidana,NN,O
14,mati,VB,O
14,kasus,NN,O
14,narkoba,NN,O
14,.,Z,O
15,Menurut,IN,O
15,Fadli,NNP,PER
15,",",Z,O
15,semakin,RB,O
15,cepat,JJ,O
15,eksekusi,NN,O
15,dilakukan,VB,O
15,",",Z,O
15,hal,NN,O
15,itu,PR,O
15,akan,MD,O
15,semakin,RB,O
15,baik,JJ,O
15,.,Z,O
16,"""",Z,O
16,Pemerintah,NN,O
16,lambat,JJ,O
16,",",Z,O
16,eksekusi,NN,O
16,lambat,JJ,O
16,",",Z,O
16,eksekusi,NN,O
16,kapan,NN,O
16,tidak,NEG,O
16,jelas,JJ,O
16,karena,SC,O
16,lambatnya,VB,O
16,pemerintah,NN,O
16,mengambil,VB,O
16,keputusan,NN,O
16,",",Z,O
16,"""",Z,O
16,kata,VB,O
16,Fadil,NNP,PER
16,Zon,NNP,PER
16,di,IN,O
16,Gedung,NNP,LOC
16,DPR,NNP,LOC
16,",",Z,LOC
16,Senayan,NNP,LOC
16,",",Z,LOC
16,Jakarta,NNP,LOC
16,",",Z,O
16,Rabu,NNP,TIM
16,(,Z,TIM
16,11/3/2015,CD,TIM
16,),Z,TIM
16,.,Z,O
17,Menurut,IN,O
17,dia,PRP,O
17,",",Z,O
17,karena,SC,O
17,lambatnya,VB,O
17,eksekusi,NN,O
17,mati,VB,O
17,ini,PR,O
17,",",Z,O
17,akhirnya,RB,O
17,terjadi,VB,O
17,perlawanan,NN,O
17,dari,IN,O
17,berbagai,CD,O
17,pihak,NN,O
17,",",Z,O
17,termasuk,VB,O
17,para,DT,O
17,terpidana,NN,O
17,.,Z,O
18,Terpidana,SC,O
18,mati,VB,O
18,kasus,NN,O
18,narkoba,NN,O
18,yang,SC,O
18,merupakan,VB,O
18,warga,NN,O
18,negara,NN,O
18,Perancis,NNP,LOC
18,",",Z,O
18,Serge,NNP,PER
18,Atlaoui,NNP,PER
18,",",Z,O
18,mengajukan,VB,O
18,upaya,NN,O
18,hukum,NN,O
18,lanjutan,NN,O
18,berupa,VB,O
18,peninjauan,NN,O
18,kembali,VB,O
18,ke,IN,O
18,Pengadilan,NNP,ORG
18,Negeri,NNP,ORG
18,Tangerang,NNP,ORG
18,.,Z,O
19,Sebelumnya,SC,O
19,",",Z,O
19,terpidana,SC,O
19,mati,VB,O
19,asal,NN,O
19,Filipina,NNP,LOC
19,",",Z,O
19,Mary,NNP,PER
19,Jane,NNP,PER
19,Fiesta,NNP,PER
19,Veloso,NNP,PER
19,",",Z,O
19,juga,RB,O
19,telah,MD,O
19,mengajukan,VB,O
19,langkah,NN,O
19,serupa,NN,O
19,.,Z,O
20,"""",Z,O
20,Ini,PR,O
20,membuat,VB,O
20,segala,CD,O
20,macam,NND,O
20,ekses,NN,O
20,terjadi,VB,O
20,.,Z,O
20,Pemerintah,NN,O
20,harusnya,RB,O
20,bisa,MD,O
20,mengambil,VB,O
20,sikap,NN,O
20,dengan,IN,O
20,cepat,JJ,O
20,",",Z,O
20,"""",Z,O
20,ucap,VB,O
20,politisi,NN,O
20,Partai,NNP,ORG
20,Gerindra,NNP,ORG
20,itu,PR,O
20,.,Z,O
21,Selain,IN,O
21,perlawanan,NN,O
21,dari,IN,O
21,terpidana,NN,O
21,",",Z,O
21,menurut,IN,O
21,Fadli,NNP,PER
21,",",Z,O
21,Indonesia,NNP,LOC
21,juga,RB,O
21,akan,MD,O
21,terus,RB,O
21,mendapatkan,VB,O
21,tekanan,NN,O
21,dari,IN,O
21,dunia,NN,O
21,internasional,JJ,O
21,jika,SC,O
21,eksekusi,NN,O
21,mati,VB,O
21,terus,RB,O
21,ditunda,VB,O
21,.,Z,O
22,Situasi,NN,O
22,ini,PR,O
22,",",Z,O
22,menurut,IN,O
22,dia,PRP,O
22,",",Z,O
22,dapat,MD,O
22,mengganggu,VB,O
22,kerja,NN,O
22,sama,JJ,O
22,yang,SC,O
22,selama,IN,O
22,ini,PR,O
22,dijalin,VB,O
22,dengan,IN,O
22,negara,NN,O
22,lainnya,RB,O
22,.,Z,O
23,"""",Z,O
23,Kita,PRP,O
23,melihat,VB,O
23,negara,NN,O
23,yang,SC,O
23,selama,IN,O
23,ini,PR,O
23,bersahabat,VB,O
23,",",Z,O
23,sekarang,NN,O
23,negara,NN,O
23,internasional,JJ,O
23,semakin,RB,O
23,memojokkan,VB,O
23,kita,PRP,O
23,",",Z,O
23,"""",Z,O
23,ucap,VB,O
23,Fadli,NNP,PER
23,.,Z,O
24,Kantor,NNP,ORG
24,Wilayah,NNP,ORG
24,Kementerian,NNP,ORG
24,Hukum,NNP,ORG
24,dan,CC,ORG
24,Hak,NNP,ORG
24,Asasi,NNP,ORG
24,Manusia,NNP,ORG
24,sebelumnya,SC,O
24,menyatakan,VB,O
24,persiapan,NN,O
24,di,IN,O
24,Pulau,NNP,LOC
24,Nusakambangan,NNP,LOC
24,",",Z,LOC
24,Cilacap,NNP,LOC
24,",",Z,O
24,sebagai,IN,O
24,tempat,NN,O
24,eksekusi,NN,O
24,para,DT,O
24,terpidana,NN,O
24,mati,VB,O
24,telah,MD,O
24,mencapai,VB,O
24,100,CD,O
24,persen,CD,O
24,.,Z,O
25,Namun,CC,O
25,",",Z,O
25,hingga,IN,O
25,saat,NN,O
25,ini,PR,O
25,belum,NEG,O
25,ada,VB,O
25,keputusan,NN,O
25,mengenai,IN,O
25,waktu,NN,O
25,eksekusi,NN,O
25,mati,VB,O
25,.,Z,O
26,Kejaksaan,NN,O
26,Agung,NNP,O
26,beberapa,CD,O
26,waktu,NN,O
26,lalu,CC,O
26,merilis,VB,O
26,10,CD,O
26,nama,NN,O
26,terpidana,SC,O
26,mati,VB,O
26,kasus,NN,O
26,narkoba,NN,O
26,yang,SC,O
26,akan,MD,O
26,dieksekusi,VB,O
26,",",Z,O
26,yakni,SC,O
26,Andrew,NNP,PER
26,Chan,NNP,PER
26,(,Z,O
26,warga,NN,O
26,negara,NN,O
26,Australia,NNP,LOC
26,),Z,O
26,",",Z,O
26,Myuran,NNP,PER
26,Sukumaran,NNP,PER
26,(,Z,O
26,Australia,NNP,LOC
26,),Z,O
26,",",Z,O
26,Raheem,NNP,PER
26,Agbaje,NNP,PER
26,Salami,NNP,PER
26,(,Z,O
26,Nigeria,NNP,LOC
26,),Z,O
26,",",Z,O
26,Zainal,NNP,PER
26,Abidin,NNP,PER
26,(,Z,O
26,Indonesia,NNP,LOC
26,),Z,O
26,",",Z,O
26,Serge,NNP,PER
26,Areski,NNP,PER
26,Atlaoui,NNP,PER
26,(,Z,O
26,Perancis,NNP,LOC
26,),Z,O
26,",",Z,O
26,Rodrigo,NNP,PER
26,Gularte,NNP,PER
26,(,Z,O
26,Brasil,NNP,LOC
26,),Z,O
26,",",Z,O
26,Silvester,NNP,PER
26,Obiekwe,NNP,PER
26,Nwaolise,NNP,PER
26,alias,NNP,O
26,Mustofa,NNP,PER
26,(,Z,O
26,Nigeria,NNP,LOC
26,),Z,O
26,",",Z,O
26,Martin,NNP,PER
26,Anderson,NNP,PER
26,alias,NNP,O
26,Belo,NNP,PER
26,(,Z,O
26,Ghana,NNP,LOC
26,),Z,O
26,",",Z,O
26,Okwudili,NNP,PER
26,Oyatanze,NNP,PER
26,(,Z,O
26,Nigeria,NNP,LOC
26,),Z,O
26,",",Z,O
26,dan,CC,O
26,Mary,NNP,PER
26,Jane,NNP,PER
26,Fiesta,NNP,PER
26,Veloso,NNP,PER
26,(,Z,O
26,Filipina,NNP,LOC
26,),Z,O
26,.,Z,O
27,Partai,NNP,ORG
27,Golkar,NNP,ORG
27,menerima,VB,O
27,kekalahan,NN,O
27,pasangan,NN,O
27,Irianto,NNP,PER
27,MS,NNP,PER
27,Syaifuddin-Tatang,NNP,PER
27,Farhanul,NNP,PER
27,Hakim,NNP,PER
27,(,Z,PER
27,Irianto-Tatang,NNP,PER
27,),Z,PER
27,dalam,IN,O
27,Pemilu,NNP,O
27,Gubernur,NNP,O
27,dan,CC,O
27,Wakil,NNP,O
27,Gubernur,NNP,O
27,Jawa,NNP,LOC
27,Barat,NNP,LOC
27,.,Z,O
28,Berdasarkan,VB,O
28,hasil,NN,O
28,hitung,NN,O
28,cepat,JJ,O
28,",",Z,O
28,pasangan,NN,O
28,tersebut,PR,O
28,hanya,RB,O
28,berada,VB,O
28,di,IN,O
28,urutan,NN,O
28,keempat,OD,O
28,dari,IN,O
28,lima,CD,O
28,pasangan,NN,O
28,.,Z,O
29,"""",Z,O
29,Golkar,NNP,ORG
29,menerima,VB,O
29,kekalahan,NN,O
29,ini,PR,O
29,dengan,IN,O
29,legowo,NN,O
29,.,Z,O
29,Tentunya,NNP,O
29,selalu,RB,O
29,ada,VB,O
29,yang,SC,O
29,kalah,VB,O
29,dan,CC,O
29,menang,VB,O
29,dalam,IN,O
29,pesta,NN,O
29,demokrasi,NN,O
29,",",Z,O
29,"""",Z,O
29,kata,VB,O
29,Wakil,NNP,O
29,Sekretaris,NNP,O
29,Jenderal,NNP,O
29,DPP,NNP,O
29,Partai,NNP,ORG
29,Golkar,NNP,ORG
29,Nurul,NNP,PER
29,Arifin,NNP,PER
29,di,IN,O
29,Jakarta,NNP,LOC
29,",",Z,O
29,Senin,NNP,TIM
29,(,Z,TIM
29,25/2/2013,CD,TIM
29,),Z,TIM
29,.,Z,O
30,Seperti,IN,O
30,diberitakan,VB,O
30,",",Z,O
30,hitung,NN,O
30,cepat,JJ,O
30,Penelitian,NN,ORG
30,dan,CC,ORG
30,Pengembangan,NN,ORG
30,(,Z,ORG
30,Litbang,NNP,ORG
30,),Z,ORG
30,Kompas,NNP,ORG
30,menyebutkan,VB,O
30,pasangan,NN,O
30,Irianto-Tatang,NNP,ORG
30,hanya,RB,O
30,mendapat,VB,O
30,"12,35",CD,O
30,persen,CD,O
30,suara,NN,O
30,.,Z,O
31,Di,IN,O
31,urutan,NN,O
31,pertama,OD,O
31,",",Z,O
31,yakni,SC,O
31,pasangan,NN,O
31,Ahmad,NNP,PER
31,Heryawan-Deddy,NNP,PER
31,Mizwar,NNP,PER
31,(,Z,PER
31,Heryawan-Deddy,NNP,PER
31,),Z,PER
31,meraih,VB,O
31,suara,NN,O
31,"31,45",CD,O
31,persen,CD,O
31,",",Z,O
31,disusul,VB,O
31,pasangan,NN,O
31,Rieke,NNP,PER
31,Diah,NNP,PER
31,Pitaloka-Teten,NNP,PER
31,Masduki,NNP,PER
31,(,Z,PER
31,Rieke-Teten,NNP,PER
31,),Z,PER
31,sebanyak,CD,O
31,"29,03",CD,O
31,persen,CD,O
31,",",Z,O
31,Dede,NNP,PER
31,Yusuf,NNP,PER
31,Macan,NNP,PER
31,Efendi-Lex,NNP,PER
31,Laksamana,NNP,PER
31,"28,85",CD,O
31,persen,CD,O
31,suara,NN,O
31,.,Z,O
32,Paling,NN,O
32,bawah,NN,O
32,",",Z,O
32,pasangan,NN,O
32,Dikdik,NNP,PER
32,M,NNP,PER
32,Arief,NNP,PER
32,Mansur-Cecep,NNP,PER
32,Nana,NNP,PER
32,Suryana,NNP,PER
32,Toyib,NNP,PER
32,(,Z,PER
32,Dikdik-Toyib,NNP,PER
32,),Z,PER
32,"1,72",CD,O
32,persen,CD,O
32,.,Z,O
33,Nurul,NNP,PER
33,mengatakan,VB,O
33,",",Z,O
33,pihaknya,RB,O
33,sudah,MD,O
33,berupaya,VB,O
33,mengusung,VB,O
33,calon,NN,O
33,terbaik,JJ,O
33,.,Z,O
34,Selain,IN,O
34,itu,PR,O
34,",",Z,O
34,kata,VB,O
34,dia,PRP,O
34,",",Z,O
34,mesin,NN,O
34,partai,NN,O
34,juga,RB,O
34,sudah,MD,O
34,bekerja,VB,O
34,optimal,JJ,O
34,.,Z,O
35,Hanya,RB,O
35,saja,RB,O
35,",",Z,O
35,pilihan,NN,O
35,tetap,RB,O
35,ada,VB,O
35,di,IN,O
35,tangan,NN,O
35,rakyat,NN,O
35,Jabar,NNP,LOC
35,.,Z,O
36,"""",Z,O
36,Golkar,NNP,ORG
36,mengucapkan,VB,O
36,selamat,JJ,O
36,kepada,IN,O
36,pasangan,NN,O
36,terpilih,VB,O
36,.,Z,O
36,Semoga,NNP,O
36,dapat,MD,O
36,menjalankan,VB,O
36,amanah,NN,O
36,rakyat,NN,O
36,tanpa,IN,O
36,menyingkirkan,VB,O
36,kelompok,NN,O
36,minoritas,NN,O
36,yang,SC,O
36,ada,VB,O
36,di,IN,O
36,Jabar,NNP,O
36,",",Z,O
36,"""",Z,O
36,kata,VB,O
36,Nurul,NNP,PER
36,.,Z,O
37,Nurul,NNP,PER
37,meyakinkan,VB,O
37,",",Z,O
37,akan,MD,O
37,mengobati,VB,O
37,kekalahan,NN,O
37,di,IN,O
37,Jabar,NNP,O
37,pada,IN,O
37,pemilu,NN,O
37,legislatif,JJ,O
37,2014,CD,O
37,.,Z,O
38,Pileg,NNP,O
38,",",Z,O
38,kata,VB,O
38,Nurul,NNP,O
38,lagi,RB,O
38,",",Z,O
38,tak,NEG,O
38,bisa,MD,O
38,disamakan,VB,O
38,dengan,IN,O
38,Pilgub,NNP,O
38,.,Z,O
39,Dalam,IN,O
39,Pileg,NNP,O
39,",",Z,O
39,semua,CD,O
39,partai,NN,O
39,dan,CC,O
39,caleg,NN,O
39,turun,VB,O
39,bersama-sama,VB,O
39,.,Z,O
40,"""",Z,O
40,Pasti,NNP,O
40,lebih,RB,O
40,kompetitif,JJ,O
40,.,Z,O
40,Dalam,IN,O
40,survei-survei,NN,O
40,Golkar,NNP,ORG
40,selalu,RB,O
40,memimpin,VB,O
40,.,Z,O
40,Jadi,NNP,O
40,",",Z,O
40,kami,PRP,O
40,optimis,NN,O
40,dapat,MD,O
40,memenangkan,VB,O
40,pertarungan,NN,O
40,di,IN,O
40,Pileg,NNP,O
40,2014,CD,O
40,",",Z,O
40,"""",Z,O
40,Nurul,NNP,PER
40,menegaskan,VB,O
40,.,Z,O
41,Menkokesra,NNP,PER
41,Agung,NNP,PER
41,Laksono,NNP,PER
41,yang,SC,O
41,berasal,VB,O
41,dari,IN,O
41,Partai,NNP,ORG
41,Golkar,NNP,ORG
41,menegaskan,VB,O
41,semua,CD,O
41,Menteri,NNP,O
41,dari,IN,O
41,Golkar,NNP,ORG
41,sudah,MD,O
41,menyampaikan,VB,O
41,kepada,IN,O
41,Ketua,NNP,O
41,Umumnya,NNP,O
41,bahwa,SC,O
41,mereka,PRP,O
41,tidak,NEG,O
41,bisa,MD,O
41,berkampanye,VB,O
41,di,IN,O
41,hari,NN,O
41,kerja,NN,O
41,.,Z,O
42,Sejak,IN,O
42,awal,NN,O
42,",",Z,O
42,kata,VB,O
42,Agung,NNP,PER
42,",",Z,O
42,Menteri,NNP,O
42,berasal,VB,O
42,dari,IN,O
42,Golkar,NNP,ORG
42,sudah,MD,O
42,mengungkapkan,VB,O
42,hal,NN,O
42,itu,PR,O
42,kepada,IN,O
42,Aburizal,NNP,PER
42,Bakrie,NNP,PER
42,.,Z,O
43,"""",Z,O
43,Sudah,NNP,O
43,ada,VB,O
43,dari,IN,O
43,awal,NN,O
43,sudah,MD,O
43,kami,PRP,O
43,sampaikan,VB,O
43,pada,IN,O
43,ketum,NN,O
43,bahwa,SC,O
43,sejak,IN,O
43,awal,NN,O
43,kita,PRP,O
43,nggak,RB,O
43,mungkin,MD,O
43,lagi,RB,O
43,berkegiatan,NN,O
43,pada,IN,O
43,hari-hari,NN,O
43,kerja,NN,O
43,",",Z,O
43,"""",Z,O
43,tegas,VB,O
43,Agung,NNP,PER
43,kepada,IN,O
43,wartawan,NN,O
43,termasuk,VB,O
43,Tribunnews.com,NNP,O
43,",",Z,O
43,di,IN,O
43,Kompleks,NNP,LOC
43,Istana,NNP,LOC
43,Negara,NNP,LOC
43,",",Z,LOC
43,Jakarta,NNP,LOC
43,",",Z,O
43,Selasa,NNP,TIM
43,(,Z,TIM
43,29/1/2013,CD,TIM
43,),Z,TIM
43,.,Z,O
44,Karena,SC,O
44,itu,PR,O
44,",",Z,O
44,dia,PRP,O
44,meminta,VB,O
44,agar,SC,O
44,masyarakat,NN,O
44,tidak,NEG,O
44,perlu,MD,O
44,khawatir,JJ,O
44,bahwa,SC,O
44,Menteri,NNP,O
44,tidak,NEG,O
44,akan,MD,O
44,fokus,VB,O
44,berkerja,NN,O
44,.,Z,O
45,"""",Z,O
45,Tidak,NEG,O
45,usah,VB,O
45,khawatir,JJ,O
45,mengganggu,VB,O
45,kinerja,NN,O
45,.,Z,O
45,Sistem,NN,O
45,ini,PR,O
45,berjalan,VB,O
45,kok,NN,O
45,.,Z,O
45,Setiap-tiap,NNP,O
45,kementerian,NNP,O
45,berjalan,VB,O
45,",",Z,O
45,"""",Z,O
45,dia,PRP,O
45,tegaskan,VB,O
45,.,Z,O
46,Kembali,RB,O
46,dia,PRP,O
46,pastikan,VB,O
46,",",Z,O
46,bahwa,SC,O
46,Partai,NNP,O
46,Golkar,NNP,O
46,pun,RP,O
46,tidak,NEG,O
46,akan,MD,O
46,"""",Z,O
46,mengganggu,VB,O
46,"""",Z,O
46,Kadernya,NNP,O
46,yang,SC,O
46,di,IN,O
46,Kabinet,NN,O
46,untuk,SC,O
46,urusan,NN,O
46,Kampanye,NNP,O
46,Pemilu,NNP,O
46,2014,CD,O
46,.,Z,O
47,"""",Z,O
47,Partai,NNP,O
47,kami,PRP,O
47,tetap,RB,O
47,minta,VB,O
47,bekerja,VB,O
47,untuk,IN,O
47,rakyat,NN,O
47,.,Z,O
47,Bahkan,RB,O
47,memicu,VB,O
47,kami,PRP,O
47,karena,SC,O
47,ada,VB,O
47,target-target,NN,O
47,yang,SC,O
47,diawasi,VB,O
47,oleh,IN,O
47,UKP4,NNP,O
47,",",Z,O
47,"""",Z,O
47,jelasnya,RB,O
47,lagi,RB,O
47,.,Z,O
48,Sebelumnya,SC,O
48,",",Z,O
48,Lingkaran,NNP,ORG
48,Survei,NNP,ORG
48,Indoensia,NNP,ORG
48,(,Z,ORG
48,LSI,NNP,ORG
48,),Z,ORG
48,melakukan,VB,O
48,survei,NN,O
48,terkait,VB,O
48,kinerja,NN,O
48,Kabinet,NN,O
48,Indonesia,NNP,O
48,Bersatu,NNP,O
48,(,Z,O
48,KIB,NNP,O
48,),Z,O
48,II,NNP,O
48,memasuki,VB,O
48,tahun,NN,O
48,politik,NN,O
48,.,Z,O
49,Mayoritas,NN,O
49,responden,NN,O
49,khawatir,JJ,O
49,menteri,NN,O
49,parpol,NN,O
49,tak,NEG,O
49,lagi,RB,O
49,fokus,NN,O
49,bekerja,VB,O
49,di,IN,O
49,tahun,NN,O
49,politik,NN,O
49,.,Z,O
50,"""",Z,O
50,Mayoritas,NN,O
50,publik,NN,O
50,khawatir,JJ,O
50,pada,IN,O
50,menteri,NN,O
50,dari,IN,O
50,parpol,NN,O
50,tidak,NEG,O
50,lagi,RB,O
50,fokus,NN,O
50,menjalankan,VB,O
50,tugas,NN,O
50,di,IN,O
50,kementerian,NNP,O
50,",",Z,O
50,"""",Z,O
50,ujar,VB,O
50,peneliti,NN,O
50,LSI,NNP,ORG
50,",",Z,O
50,Ardian,NNP,PER
50,Sofa,NNP,PER
50,",",Z,O
50,menyampaikan,VB,O
50,poin,NN,O
50,kesimpulan,NN,O
50,survei,NN,O
50,LSI,NNP,ORG
50,di,IN,O
50,Kantor,NNP,LOC
50,Lingkaran,NNP,LOC
50,Survei,NNP,LOC
50,Indonesia,NNP,LOC
50,di,IN,O
50,Jl,NNP,LOC
50,Pramuka,NNP,LOC
50,",",Z,LOC
50,Jakarta,NNP,LOC
50,Timur,NNP,LOC
50,",",Z,O
50,Selasa,NNP,TIM
50,(,Z,TIM
50,29/1/2013,CD,TIM
50,),Z,TIM
50,.,Z,O
51,Berdasarkan,VB,O
51,survei,NN,O
51,yang,SC,O
51,dilakukan,VB,O
51,oleh,IN,O
51,LSI,NNP,ORG
51,",",Z,O
51,sebanyak,CD,O
51,"86,35",CD,O
51,persen,CD,O
51,responden,NN,O
51,khawatir,JJ,O
51,menteri,NN,O
51,dari,IN,O
51,parpol,NN,O
51,tak,NEG,O
51,lagi,RB,O
51,fokus,NN,O
51,bekerja,VB,O
51,",",Z,O
51,sementara,SC,O
51,"10,79",CD,O
51,persen,CD,O
51,responden,NN,O
51,percaya,VB,O
51,para,DT,O
51,menteri,NN,O
51,parpol,NN,O
51,masih,MD,O
51,bisa,MD,O
51,bekerja,VB,O
51,dengan,IN,O
51,baik,JJ,O
51,.,Z,O
52,Sementara,SC,O
52,sebanyak,CD,O
52,"2,86",CD,O
52,persen,CD,O
52,responden,NN,O
52,menjawab,VB,O
52,tidak,NEG,O
52,tahu,VB,O
52,.,Z,O
53,Survei,NN,O
53,dilakukan,VB,O
53,pada,IN,O
53,22-25,CD,TIM
53,Januari,NNP,TIM
53,2013,CD,TIM
53,",",Z,O
53,dengan,IN,O
53,motede,FW,O
53,multistage,FW,O
53,random,FW,O
53,sampling,FW,O
53,dengan,IN,O
53,1200,CD,O
53,responden,NN,O
53,yang,SC,O
53,tersebar,VB,O
53,di,IN,O
53,seluruh,CD,O
53,Indonesia,NNP,O
53,.,Z,O
54,Wawancara,NNP,O
54,menggunakan,VB,O
54,metode,NN,O
54,handset,NN,O
54,dengan,IN,O
54,margin,NN,O
54,error,NN,O
54,"2,9",CD,O
